fnd_PConc,neigh_NridgHt,mas_vnr_type_Stone,neigh_NoRidge,extsecond_VinylSd,extfirst_VinylSd,ctrl_air_Y,zoning_RL,roof_style_Hip,gar_type_BuiltIn,neigh_StoneBr,roof_style_Gable,gar_type_None,zoning_RM,fnd_CBlock,gar_type_Detchd,mas_vnr_type_None,age_of_prop,SalePrice,OverallQual,GrLivArea,ExterQual,GarageArea,TotalBsmtSF,1stFlrSF,BsmtQual,FullBath,GarageFinish,TotRmsAbvGrd,FireplaceQu,YearRemodAdd,HeatingQC,BsmtFinSF1,BsmtExposure,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF,BsmtFinType1,HalfBath,GarageQual,LotArea,GarageCond,Electrical,PavedDrive,BsmtFullBath,BsmtUnfSF,BsmtCond
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,5,208500,7,1710,3,548,856,856,4,2,2,8,0,2003,4,706,1,65.0,0,854,61,6,1,3,8450,3,4,2,1,150,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,31,181500,6,1262,2,460,1262,1262,4,2,2,6,3,1976,4,978,4,80.0,298,0,0,5,0,3,9600,3,4,2,0,284,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,7,223500,7,1786,3,608,920,920,4,2,2,6,3,2002,4,486,2,68.0,0,866,42,6,1,3,11250,3,4,2,1,434,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,91,140000,7,1717,2,642,756,961,3,1,1,7,4,1970,3,216,1,60.0,0,756,35,5,0,3,9550,3,4,2,1,540,4
1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,8,250000,8,2198,3,836,1145,1145,4,2,2,9,3,2000,4,655,3,84.0,192,1053,84,6,1,3,14260,3,4,2,1,490,3
0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,16,143000,5,1362,2,480,796,796,4,1,1,5,0,1995,4,732,1,85.0,40,566,30,6,1,3,14115,3,4,2,1,64,3
1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,3,307000,8,1694,3,636,1686,1694,5,2,2,7,4,2005,4,1369,3,75.0,255,0,57,6,0,3,10084,3,4,2,1,317,3
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,36,200000,7,2090,2,484,1107,1107,4,2,2,7,3,1973,4,859,2,81.28888888888889,235,983,204,5,1,3,10382,3,4,2,1,216,3
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,77,129900,7,1774,2,468,952,1022,3,2,1,8,3,1950,3,0,1,51.0,90,752,0,1,0,2,6120,3,2,2,0,952,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,69,118000,5,1077,2,205,991,1077,3,1,2,5,3,1950,4,851,1,50.0,0,0,4,6,0,4,7420,3,4,2,1,140,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,43,129500,5,1040,2,384,1040,1040,3,1,1,5,0,1965,4,906,1,70.0,0,0,0,3,0,3,11200,3,4,2,1,134,3
